日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2015/7/23,臺股期貨,投信,267,467592,537,938793,-270,-471201,3785,6625094,4267,7469810,-482,-844716
2015/7/23,臺股期貨,外資及陸資,44221,77358190,47238,82624371,-3017,-5266181,21027,36774145,31757,55524371,-10730,-18750226
2015/7/24,臺股期貨,自營商,16335,28394594,16502,28682906,-167,-288312,5878,10188158,5177,8984930,701,1203228
2015/7/24,臺股期貨,投信,174,302327,394,684390,-220,-382063,3731,6480587,4446,7723591,-715,-1243004
2015/7/24,臺股期貨,外資及陸資,30535,53090007,29707,51651541,828,1438466,21291,36954128,31448,54566657,-10157,-17612529
2015/7/27,臺股期貨,自營商,27731,47551545,29120,49982186,-1389,-2430642,6425,10931574,6835,11640509,-410,-708935
2015/7/27,臺股期貨,投信,259,444556,507,869590,-248,-425034,3590,6120085,4718,8044190,-1128,-1924105
2015/7/27,臺股期貨,外資及陸資,44521,76461809,40827,70118175,3694,6343634,23368,39811654,30034,51146423,-6666,-11334769
2015/7/28,臺股期貨,自營商,21535,36764603,21274,36307816,261,456787,6804,11594315,6907,11781012,-103,-186697
2015/7/28,臺股期貨,投信,796,1361559,325,555300,471,806258,3597,6142071,4267,7287183,-670,-1145112
2015/7/28,臺股期貨,外資及陸資,38929,66434679,41925,71568741,-2996,-5134062,22283,38022204,32130,54806720,-9847,-16784516
2015/7/29,臺股期貨,自營商,30139,51186231,29286,49716696,853,1469535,7497,12700030,6772,11476998,725,1223032
2015/7/29,臺股期貨,投信,381,647184,280,474980,101,172204,3717,6306884,4264,7236008,-547,-929124
2015/7/29,臺股期貨,外資及陸資,45446,77184070,46754,79433687,-1308,-2249618,22356,37904113,33763,57230510,-11407,-19326397
2015/7/30,臺股期貨,自營商,24277,41658446,25077,43042038,-800,-1383593,6847,11757556,6879,11826456,-32,-68900
2015/7/30,臺股期貨,投信,407,699779,322,552094,85,147685,3620,6230520,4048,6968227,-428,-737707
2015/7/30,臺股期貨,外資及陸資,40167,68939856,34900,59882903,5267,9056953,24903,42832717,30898,53118761,-5995,-10286044
2015/7/31,臺股期貨,自營商,19784,33832933,18391,31433134,1393,2399799,7110,12168681,5804,9938551,1306,2230130
2015/7/31,臺股期貨,投信,421,719827,249,426094,172,293733,3651,6260517,3910,6705650,-259,-445133
2015/7/31,臺股期貨,外資及陸資,35451,60615733,39435,67441681,-3984,-6825948,23791,40764520,34003,58246136,-10212,-17481616
2015/8/3,臺股期貨,自營商,21546,36406674,23433,39601158,-1887,-3194485,5927,9997498,6808,11495101,-881,-1497603
2015/8/3,臺股期貨,投信,382,646449,546,922966,-164,-276517,3550,6001351,3964,6702331,-414,-700980
2015/8/3,臺股期貨,外資及陸資,43615,73692396,39745,67154794,3870,6537602,27534,46516174,33850,57157101,-6316,-10640927
2015/8/4,臺股期貨,自營商,24008,40729807,27686,46955933,-3678,-6226126,4364,7362832,8859,14980677,-4495,-7617845
2015/8/4,臺股期貨,投信,298,506253,395,669402,-97,-163149,3443,5827342,3963,6708566,-520,-881224
